Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Handtaschenraub;1001;Flensburg;insg.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;voll.;34;29;5;0;0;0;0;0;0;0;0;0;4;3;1;6;4;2;23;21;2;1;1;0;24;22;2
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;vers.;7;5;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;5;4;1;1;0;1;6;4;2
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;insg.;41;34;7;0;0;0;0;0;0;0;0;0;5;4;1;6;4;2;28;25;3;2;1;1;30;26;4
Raubüberfälle in Wohnungen;1001;Flensburg;voll.;8;5;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;2;2;3;2;1;7;4;3
Raubüberfälle in Wohnungen;1001;Flensburg;vers.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;3;2;1
Raubüberfälle in Wohnungen;1001;Flensburg;insg.;11;7;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;7;4;3;3;2;1;10;6;4
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;voll.;284;216;68;0;0;0;12;7;5;12;7;5;40;31;9;29;24;5;197;148;49;6;6;0;203;154;49
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;vers.;30;23;7;0;0;0;0;0;0;0;0;0;2;2;0;6;5;1;20;14;6;2;2;0;22;16;6
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;insg.;314;239;75;0;0;0;12;7;5;12;7;5;42;33;9;35;29;6;217;162;55;8;8;0;225;170;55
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;voll.;831;465;366;5;4;1;29;18;11;34;22;12;72;37;35;71;39;32;610;344;266;44;23;21;654;367;287
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;vers.;34;23;11;0;0;0;0;0;0;0;0;0;4;4;0;1;0;1;27;19;8;2;0;2;29;19;10
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;insg.;865;488;377;5;4;1;29;18;11;34;22;12;76;41;35;72;39;33;637;363;274;46;23;23;683;386;297
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;voll.;117;100;17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;114;97;17;2;2;0;116;99;17
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;insg.;117;100;17;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;114;97;17;2;2;0;116;99;17
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;voll.;29;26;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;26;3;0;0;0;29;26;3
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;insg.;29;26;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;26;3;0;0;0;29;26;3
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;voll.;88;74;14;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;85;71;14;2;2;0;87;73;14
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;insg.;88;74;14;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;85;71;14;2;2;0;87;73;14
Gewaltkriminalität;1001;Flensburg;voll.;400;287;113;0;0;0;12;7;5;12;7;5;51;36;15;46;31;15;278;203;75;13;10;3;291;213;78
Gewaltkriminalität;1001;Flensburg;vers.;51;37;14;0;0;0;0;0;0;0;0;0;3;3;0;8;5;3;36;26;10;4;3;1;40;29;11
Gewaltkriminalität;1001;Flensburg;insg.;451;324;127;0;0;0;12;7;5;12;7;5;54;39;15;54;36;18;314;229;85;17;13;4;331;242;89
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;vers.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;0;4;3;1
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;insg.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;0;4;3;1
Straftaten insgesamt;1002;Kiel;voll.;4348;2728;162;16;9;7;216;119;97;232;128;104;305;173;132;356;217;139;3239;2075;1164;216;135;81;3455;221;1245
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1002;Kiel;vers.;5;0;5;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;2;0;2;0;0;0;2;0;2
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1002;Kiel;insg.;227;174;53;0;0;0;13;10;3;13;10;3;19;18;1;15;13;2;166;125;41;14;8;6;180;133;47
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1002;Kiel;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte ;1002;Kiel;vers.;7;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;4;0;0;0;7;3;4
Handtaschenraub;1002;Kiel;insg.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;3;0;3
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;voll.;76;63;13;0;0;0;6;5;1;6;5;1;14;14;0;5;5;0;46;36;10;5;3;2;51;39;12
Raubüberfälle in Wohnungen;1002;Kiel;vers.;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;1;0;1;6;4;2
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB ;1002;Kiel;insg.;717;521;196;1;1;0;35;20;15;36;21;15;63;44;19;92;66;26;489;365;124;37;25;12;526;390;136
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;voll.;1743;1119;624;7;5;2;83;56;27;90;61;29;132;75;57;159;106;53;1284;825;459;78;52;26;1362;877;485
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;insg.;167;131;36;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;163;128;35;0;0;0;163;128;35
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;voll.;298;227;71;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;293;223;70;1;1;0;294;224;70
Gewaltkriminalität;1002;Kiel;vers.;156;100;56;0;0;0;5;3;2;5;3;2;10;5;5;14;11;3;123;80;43;4;1;3;127;81;46
Mord Totschlag und Tötung auf Verlangen;1002;Kiel;insg.;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;0;0;0;8;4;4
Handtaschenraub;1002;Kiel;voll.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;3;0;3
Handtaschenraub;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1002;Kiel;insg.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;3;0;3
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;voll.;76;63;13;0;0;0;6;5;1;6;5;1;14;14;0;5;5;0;46;36;10;5;3;2;51;39;12
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;vers.;23;17;6;0;0;0;3;2;1;3;2;1;1;1;0;4;3;1;15;11;4;0;0;0;15;11;4
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;insg.;99;80;19;0;0;0;9;7;2;9;7;2;15;15;0;9;8;1;61;47;14;5;3;2;66;50;16
Raubüberfälle in Wohnungen;1002;Kiel;voll.;8;6;2;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;5;4;1;0;0;0;5;4;1
Raubüberfälle in Wohnungen;1002;Kiel;vers.;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;1;0;1;6;4;2
Raubüberfälle in Wohnungen;1002;Kiel;insg.;14;10;4;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;10;8;2;1;0;1;11;8;3
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;voll.;632;463;169;1;1;0;34;19;15;35;20;15;56;40;16;84;59;25;422;319;103;35;25;10;457;344;113
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;vers.;85;58;27;0;0;0;1;1;0;1;1;0;7;4;3;8;7;1;67;46;21;2;0;2;69;46;23
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;insg.;717;521;196;1;1;0;35;20;15;36;21;15;63;44;19;92;66;26;489;365;124;37;25;12;526;390;136
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;voll.;1743;1119;624;7;5;2;83;56;27;90;61;29;132;75;57;159;106;53;1284;825;459;78;52;26;1362;877;485
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;vers.;67;48;19;0;0;0;3;3;0;3;3;0;2;1;1;5;5;0;49;33;16;8;6;2;57;39;18
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;insg.;181;1167;643;7;5;2;86;59;27;93;64;29;134;76;58;164;111;53;1333;858;475;86;58;28;1419;916;503
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;voll.;465;358;107;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;456;351;105;1;1;0;457;352;105
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;insg.;465;358;107;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;456;351;105;1;1;0;457;352;105
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;voll.;167;131;36;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;163;128;35;0;0;0;163;128;35
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;insg.;167;131;36;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;163;128;35;0;0;0;163;128;35
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;voll.;298;227;71;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;293;223;70;1;1;0;294;224;70
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;insg.;298;227;71;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;293;223;70;1;1;0;294;224;70
Gewaltkriminalität;1002;Kiel;voll.;837;600;237;1;1;0;45;27;18;46;28;18;80;58;22;103;68;35;560;414;146;48;32;16;608;446;162
Gewaltkriminalität;1002;Kiel;vers.;156;100;56;0;0;0;5;3;2;5;3;2;10;5;5;14;11;3;123;80;43;4;1;3;127;81;46
Gewaltkriminalität;1002;Kiel;insg.;993;700;293;1;1;0;50;30;20;51;31;20;90;63;27;117;79;38;683;494;189;52;33;19;735;527;208
Mord Totschlag und Tötung auf Verlangen;1002;Kiel;voll.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
Mord Totschlag und Tötung auf Verlangen;1002;Kiel;vers.;7;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;4;0;0;0;7;3;4
Mord Totschlag und Tötung auf Verlangen;1002;Kiel;insg.;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;0;0;0;8;4;4
Straftaten insgesamt;1003;Lübeck;voll.;5263;3153;211;25;14;11;245;125;120;270;139;131;351;183;168;388;231;157;3898;2405;1493;356;195;161;4254;26;1654
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1003;Lübeck;vers.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1003;Lübeck;insg.;134;107;27;0;0;0;3;3;0;3;3;0;22;21;1;16;14;2;84;63;21;9;6;3;93;69;24
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1003;Lübeck;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte ;1003;Lübeck;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
Handtaschenraub;1003;Lübeck;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;2;1;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1003;Lübeck;voll.;46;42;4;0;0;0;0;0;0;0;0;0;14;14;0;8;8;0;19;17;2;5;3;2;24;20;4
Raubüberfälle in Wohnungen;1003;Lübeck;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB ;1003;Lübeck;insg.;781;585;196;3;2;1;17;12;5;20;14;6;65;46;19;69;51;18;581;447;134;46;27;19;627;474;153
Vorsätzliche einfache Körperverletzung § 223 StGB;1003;Lübeck;voll.;1856;1102;754;9;7;2;105;65;40;114;72;42;137;76;61;161;104;57;1321;773;548;123;77;46;1444;850;594
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1003;Lübeck;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1003;Lübeck;insg.;341;265;76;0;0;0;0;0;0;0;0;0;0;0;0;8;7;1;330;255;75;3;3;0;333;258;75
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1003;Lübeck;voll.;309;230;79;0;0;0;0;0;0;0;0;0;0;0;0;13;5;8;295;225;70;1;0;1;296;225;71
Gewaltkriminalität;1003;Lübeck;vers.;136;93;43;2;2;0;5;3;2;7;5;2;9;7;2;12;5;7;99;69;30;9;7;2;108;76;32
Mord Totschlag und Tötung auf Verlangen;1003;Lübeck;insg.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
Handtaschenraub;1003;Lübeck;voll.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0
Handtaschenraub;1003;Lübeck;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
Handtaschenraub;1003;Lübeck;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;2;1;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1003;Lübeck;voll.;46;42;4;0;0;0;0;0;0;0;0;0;14;14;0;8;8;0;19;17;2;5;3;2;24;20;4
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1003;Lübeck;vers.;12;11;1;0;0;0;0;0;0;0;0;0;3;3;0;1;0;1;7;7;0;1;1;0;8;8;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1003;Lübeck;insg.;58;53;5;0;0;0;0;0;0;0;0;0;17;17;0;9;8;1;26;24;2;6;4;2;32;28;4
Raubüberfälle in Wohnungen;1003;Lübeck;voll.;9;7;2;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;7;5;2;0;0;0;7;5;2
Raubüberfälle in Wohnungen;1003;Lübeck;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1
Raubüberfälle in Wohnungen;1003;Lübeck;insg.;11;8;3;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;8;5;3;0;0;0;8;5;3
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1003;Lübeck;voll.;679;516;163;1;0;1;13;10;3;14;10;4;61;44;17;62;49;13;504;392;112;38;21;17;542;413;129
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1003;Lübeck;vers.;102;69;33;2;2;0;4;2;2;6;4;2;4;2;2;7;2;5;77;55;22;8;6;2;85;61;24
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1003;Lübeck;insg.;781;585;196;3;2;1;17;12;5;20;14;6;65;46;19;69;51;18;581;447;134;46;27;19;627;474;153
Vorsätzliche einfache Körperverletzung § 223 StGB;1003;Lübeck;voll.;1856;1102;754;9;7;2;105;65;40;114;72;42;137;76;61;161;104;57;1321;773;548;123;77;46;1444;850;594
Vorsätzliche einfache Körperverletzung § 223 StGB;1003;Lübeck;vers.;142;95;47;1;0;1;7;5;2;8;5;3;10;9;1;5;2;3;106;70;36;13;9;4;119;79;40
Vorsätzliche einfache Körperverletzung § 223 StGB;1003;Lübeck;insg.;1998;1197;801;10;7;3;112;70;42;122;77;45;147;85;62;166;106;60;1427;843;584;136;86;50;1563;929;634
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1003;Lübeck;voll.;650;495;155;0;0;0;0;0;0;0;0;0;0;0;0;21;12;9;625;480;145;4;3;1;629;483;146
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1003;Lübeck;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1003;Lübeck;insg.;650;495;155;0;0;0;0;0;0;0;0;0;0;0;0;21;12;9;625;480;145;4;3;1;629;483;146
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1003;Lübeck;voll.;341;265;76;0;0;0;0;0;0;0;0;0;0;0;0;8;7;1;330;255;75;3;3;0;333;258;75
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1003;Lübeck;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1003;Lübeck;insg.;341;265;76;0;0;0;0;0;0;0;0;0;0;0;0;8;7;1;330;255;75;3;3;0;333;258;75
