Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;9775;Neu-Ulm;voll.;6;5;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;4;3;1;0;0;0;4;3;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;9775;Neu-Ulm;vers.;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;9775;Neu-Ulm;insg.;7;6;1;0;0;0;1;1;0;1;1;0;2;2;0;0;0;0;4;3;1;0;0;0;4;3;1
Raubüberfälle in Wohnungen;9775;Neu-Ulm;voll.;8;3;5;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;6;2;4;0;0;0;6;2;4
Raubüberfälle in Wohnungen;9775;Neu-Ulm;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raubüberfälle in Wohnungen;9775;Neu-Ulm;insg.;8;3;5;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;6;2;4;0;0;0;6;2;4
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;9775;Neu-Ulm;voll.;287;208;79;6;6;0;17;13;4;23;19;4;35;28;7;33;27;6;185;128;57;11;6;5;196;134;62
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;9775;Neu-Ulm;vers.;66;48;18;1;1;0;0;0;0;1;1;0;3;2;1;5;3;2;50;38;12;7;4;3;57;42;15
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;9775;Neu-Ulm;insg.;353;256;97;7;7;0;17;13;4;24;20;4;38;30;8;38;30;8;235;166;69;18;10;8;253;176;77
Vorsätzliche einfache Körperverletzung § 223 StGB;9775;Neu-Ulm;voll.;717;410;307;5;4;1;39;30;9;44;34;10;58;37;21;60;37;23;497;272;225;58;30;28;555;302;253
