Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Straftaten insgesamt;1001;Flensburg;voll.;2411;1411;1;26;17;9;126;47;79;152;64;88;213;118;95;205;113;92;1719;1036;683;122;80;42;1841;1116;725
Straftaten insgesamt;1001;Flensburg;vers.;104;68;36;5;2;3;7;5;2;12;7;5;8;8;0;6;4;2;68;45;23;10;4;6;78;49;29
Straftaten insgesamt;1001;Flensburg;insg.;2515;1479;1036;31;19;12;133;52;81;164;71;93;221;126;95;211;117;94;1787;1081;706;132;84;48;1919;1165;754
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;voll.;32;1;31;0;0;0;0;0;0;0;0;0;7;0;7;7;0;7;18;1;17;0;0;0;18;1;17
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;vers.;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;5;0;5
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;insg.;37;1;36;0;0;0;0;0;0;0;0;0;7;0;7;7;0;7;23;1;22;0;0;0;23;1;22
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;voll.;108;82;26;0;0;0;6;6;0;6;6;0;10;9;1;10;10;0;73;50;23;9;7;2;82;57;25
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;vers.;24;17;7;0;0;0;0;0;0;0;0;0;5;5;0;1;1;0;17;11;6;1;0;1;18;11;7
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;insg.;132;99;33;0;0;0;6;6;0;6;6;0;15;14;1;11;11;0;90;61;29;10;7;3;100;68;32
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;voll.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;0;1;5;1;4
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;vers.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;3;1;2
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;insg.;8;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;5;1;0;1;8;2;6
Handtaschenraub;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1001;Flensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;voll.;43;38;5;0;0;0;4;4;0;4;4;0;10;9;1;8;8;0;17;13;4;4;4;0;21;17;4
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;vers.;10;10;0;0;0;0;0;0;0;0;0;0;4;4;0;1;1;0;5;5;0;0;0;0;5;5;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;insg.;53;48;5;0;0;0;4;4;0;4;4;0;14;13;1;9;9;0;22;18;4;4;4;0;26;22;4
Raubüberfälle in Wohnungen;1001;Flensburg;voll.;12;11;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;9;1;1;1;0;11;10;1
Raubüberfälle in Wohnungen;1001;Flensburg;vers.;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;3;0;3
