Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Straftaten insgesamt;1001;Flensburg;voll.;2495;1473;1022;19;9;10;138;64;74;157;73;84;223;115;108;205;128;77;1784;1086;698;126;71;55;1910;1157;753
Straftaten insgesamt;1001;Flensburg;vers.;128;86;42;4;1;3;2;1;1;6;2;4;9;8;1;10;8;2;95;61;34;8;7;1;103;68;35
Straftaten insgesamt;1001;Flensburg;insg.;2623;1559;1064;23;10;13;140;65;75;163;75;88;232;123;109;215;136;79;1879;1147;732;134;78;56;2013;1225;788
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;voll.;23;1;22;0;0;0;1;0;1;1;0;1;7;0;7;7;0;7;8;1;7;0;0;0;8;1;7
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;insg.;23;1;22;0;0;0;1;0;1;1;0;1;7;0;7;7;0;7;8;1;7;0;0;0;8;1;7
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;voll.;104;82;22;0;0;0;4;1;3;4;1;3;8;7;1;11;11;0;75;61;14;6;2;4;81;63;18
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;vers.;20;20;0;0;0;0;0;0;0;0;0;0;1;1;0;4;4;0;14;14;0;1;1;0;15;15;0
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;insg.;124;102;22;0;0;0;4;1;3;4;1;3;9;8;1;15;15;0;89;75;14;7;3;4;96;78;18
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;voll.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;1;0;1
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;vers.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;insg.;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;3;1;0;0;0;4;3;1
Handtaschenraub;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1001;Flensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;voll.;37;29;8;0;0;0;1;1;0;1;1;0;3;3;0;6;6;0;24;19;5;3;0;3;27;19;8
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;vers.;6;6;0;0;0;0;0;0;0;0;0;0;1;1;0;3;3;0;2;2;0;0;0;0;2;2;0
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;insg.;43;35;8;0;0;0;1;1;0;1;1;0;4;4;0;9;9;0;26;21;5;3;0;3;29;21;8
Raubüberfälle in Wohnungen;1001;Flensburg;voll.;9;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;1;0;0;0;9;8;1
Raubüberfälle in Wohnungen;1001;Flensburg;vers.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0
Raubüberfälle in Wohnungen;1001;Flensburg;insg.;11;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;1;0;0;0;11;10;1
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;voll.;354;257;97;1;0;1;15;7;8;16;7;9;47;32;15;31;26;5;249;186;63;11;6;5;260;192;68
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;vers.;52;29;23;1;0;1;0;0;0;1;0;1;1;1;0;2;0;2;43;24;19;5;4;1;48;28;20
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1001;Flensburg;insg.;406;286;120;2;0;2;15;7;8;17;7;10;48;33;15;33;26;7;292;210;82;16;10;6;308;220;88
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;voll.;907;550;357;4;4;0;41;27;14;45;31;14;90;55;35;78;52;26;651;386;265;43;26;17;694;412;282
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;vers.;49;33;16;1;0;1;2;1;1;3;1;2;7;6;1;4;4;0;34;21;13;1;1;0;35;22;13
Vorsätzliche einfache Körperverletzung § 223 StGB;1001;Flensburg;insg.;956;583;373;5;4;1;43;28;15;48;32;16;97;61;36;82;56;26;685;407;278;44;27;17;729;434;295
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;voll.;202;149;53;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;199;146;53;2;2;0;201;148;53
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1001;Flensburg;insg.;202;149;53;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;199;146;53;2;2;0;201;148;53
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;voll.;95;69;26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;92;66;26;2;2;0;94;68;26
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1001;Flensburg;insg.;95;69;26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;92;66;26;2;2;0;94;68;26
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;voll.;107;80;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;80;27;0;0;0;107;80;27
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1001;Flensburg;insg.;107;80;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;80;27;0;0;0;107;80;27
Gewaltkriminalität;1001;Flensburg;voll.;481;340;141;1;0;1;20;8;12;21;8;13;62;39;23;49;37;12;332;248;84;17;8;9;349;256;93
Gewaltkriminalität;1001;Flensburg;vers.;75;51;24;1;0;1;0;0;0;1;0;1;2;2;0;6;4;2;59;39;20;7;6;1;66;45;21
Gewaltkriminalität;1001;Flensburg;insg.;556;391;165;2;0;2;20;8;12;22;8;14;64;41;23;55;41;14;391;287;104;24;14;10;415;301;114
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;vers.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;3;2;1
Mord Totschlag und Tötung auf Verlangen;1001;Flensburg;insg.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;3;2;1
Straftaten insgesamt;1002;Kiel;voll.;5106;3126;1980;18;11;7;265;154;111;283;165;118;449;221;228;351;209;142;3759;2389;1370;264;142;122;4023;2531;1492
Straftaten insgesamt;1002;Kiel;vers.;252;171;81;3;1;2;14;9;5;17;10;7;23;14;9;18;15;3;182;123;59;12;9;3;194;132;62
Straftaten insgesamt;1002;Kiel;insg.;5358;3297;2061;21;12;9;279;163;116;300;175;125;472;235;237;369;224;145;3941;2512;1429;276;151;125;4217;2663;1554
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1002;Kiel;voll.;52;0;52;0;0;0;0;0;0;0;0;0;15;0;15;5;0;5;32;0;32;0;0;0;32;0;32
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1002;Kiel;vers.;9;1;8;0;0;0;0;0;0;0;0;0;2;1;1;1;0;1;6;0;6;0;0;0;6;0;6
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1002;Kiel;insg.;61;1;60;0;0;0;0;0;0;0;0;0;17;1;16;6;0;6;38;0;38;0;0;0;38;0;38
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1002;Kiel;voll.;263;217;46;0;0;0;11;11;0;11;11;0;31;31;0;13;11;2;194;154;40;14;10;4;208;164;44
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1002;Kiel;vers.;58;46;12;0;0;0;4;4;0;4;4;0;8;7;1;5;4;1;38;29;9;3;2;1;41;31;10
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1002;Kiel;insg.;321;263;58;0;0;0;15;15;0;15;15;0;39;38;1;18;15;3;232;183;49;17;12;5;249;195;54
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1002;Kiel;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1002;Kiel;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1002;Kiel;voll.;11;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;8;2;0;2;11;1;10
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1002;Kiel;vers.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1002;Kiel;insg.;13;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;10;2;0;2;13;1;12
Handtaschenraub;1002;Kiel;voll.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
Handtaschenraub;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Handtaschenraub;1002;Kiel;insg.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;voll.;109;101;8;0;0;0;9;9;0;9;9;0;23;23;0;9;8;1;64;58;6;4;3;1;68;61;7
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;vers.;36;30;6;0;0;0;2;2;0;2;2;0;5;5;0;5;4;1;21;17;4;3;2;1;24;19;5
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1002;Kiel;insg.;145;131;14;0;0;0;11;11;0;11;11;0;28;28;0;14;12;2;85;75;10;7;5;2;92;80;12
Raubüberfälle in Wohnungen;1002;Kiel;voll.;14;10;4;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;8;5;3;3;3;0;11;8;3
Raubüberfälle in Wohnungen;1002;Kiel;vers.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;3;2;1
Raubüberfälle in Wohnungen;1002;Kiel;insg.;17;12;5;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;11;7;4;3;3;0;14;10;4
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;voll.;774;581;193;1;0;1;44;26;18;45;26;19;83;52;31;71;54;17;544;428;116;31;21;10;575;449;126
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;vers.;74;56;18;0;0;0;1;1;0;1;1;0;5;4;1;5;5;0;56;41;15;7;5;2;63;46;17
Gefährliche und schwere Körperverletzung Verstümmelung weiblicher Genitalien §§ 224 226 226a 231 StGB;1002;Kiel;insg.;848;637;211;1;0;1;45;27;18;46;27;19;88;56;32;76;59;17;600;469;131;38;26;12;638;495;143
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;voll.;1843;1131;712;8;6;2;103;66;37;111;72;39;177;98;79;134;81;53;1330;832;498;91;48;43;1421;880;541
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;vers.;83;55;28;2;0;2;5;4;1;7;4;3;4;2;2;4;4;0;66;43;23;2;2;0;68;45;23
Vorsätzliche einfache Körperverletzung § 223 StGB;1002;Kiel;insg.;1926;1186;740;10;6;4;108;70;38;118;76;42;181;100;81;138;85;53;1396;875;521;93;50;43;1489;925;564
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;voll.;445;344;101;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;436;337;99;1;1;0;437;338;99
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;1002;Kiel;insg.;445;344;101;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;436;337;99;1;1;0;437;338;99
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;voll.;182;141;41;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;177;136;41;1;1;0;178;137;41
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113 115 StGB;1002;Kiel;insg.;182;141;41;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;177;136;41;1;1;0;178;137;41
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;voll.;263;203;60;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;259;201;58;0;0;0;259;201;58
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 114 115 StGB;1002;Kiel;insg.;263;203;60;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;259;201;58;0;0;0;259;201;58
Gewaltkriminalität;1002;Kiel;voll.;1093;799;294;2;0;2;56;37;19;58;37;21;129;83;46;89;65;24;772;583;189;45;31;14;817;614;203
Gewaltkriminalität;1002;Kiel;vers.;152;110;42;0;0;0;5;5;0;5;5;0;15;12;3;12;9;3;110;77;33;10;7;3;120;84;36
Gewaltkriminalität;1002;Kiel;insg.;1245;909;336;2;0;2;61;42;19;63;42;21;144;95;49;101;74;27;882;660;222;55;38;17;937;698;239
